OriginRegion,DestinationRegion,EventName,ProjectName,IndustryCode,IndustryDescription,ImpactType,Output,Employment,WageAndSalaryEmployment,ProprietorEmployment,EmployeeCompensation,ProprietorIncome,TaxesOnProductionAndImports,OtherPropertyIncome,TagName
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,36,Electric power generation - Nuclear,Total,"4,473.525809471",0.004243931,0.003127185,0.001116746,936.982848532,0.028312193,457.805958700,"1,138.498027419",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,37,Electric power generation - Solar,Total,326.790270570,0.000465153,0.000465153,0.000000000,98.176747815,0.000000000,33.098993604,61.536270061,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,38,Electric power generation - Wind,Total,"1,163.515506865",0.000374569,0.000374569,0.000000000,100.663193532,0.000000000,153.001781102,544.588992425,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,39,Electric power generation - Geothermal,Total,40.026294397,0.000056940,0.000054529,0.000002412,10.612690879,-0.010021747,4.666216892,6.717797893,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,40,Electric power generation - Biomass,Total,924.296333645,0.000772421,0.000772421,0.000000000,144.919112756,0.000000000,99.857425604,184.946437016,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,41,Electric power generation - All other,Total,15.597677053,0.000338248,0.000338248,0.000000000,58.752201246,0.000000000,4.383152249,-88.684021262,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,42,Electric power transmission and distribution,Total,"624,185.199621931",0.401481309,0.390518513,0.010962796,"78,423.517577643",63.672339345,"39,304.402559795","149,625.447818439",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,43,Natural gas distribution,Total,"37,547.949466274",0.062633931,0.061920354,0.000713577,"7,598.643027928",14.392668145,"8,000.523681745","6,728.028129425",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,44,"Water, sewage and other systems",Total,"6,701.894145109",0.028779871,0.028366727,0.000413144,"2,623.304044036",0.757760762,719.199486718,423.716901647,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,55,Maintenance and repair construction of nonresidential structures,Total,"113,913.125135342",0.514259944,0.365760421,0.148499523,"29,429.857392590","10,842.661486944",983.077927681,"17,909.304835745",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,56,Maintenance and repair construction of residential structures,Total,"25,145.252024449",0.162372794,0.117192591,0.045180203,"8,577.059934738","2,821.863981915",736.345095062,"2,882.738386683",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,57,"Maintenance and repair construction of highways, streets, bridges, and tunnels",Total,148.306068410,0.000670014,0.000476505,0.000193509,38.336526754,14.128129379,1.300012989,24.563384541,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,58,Dog and cat food manufacturing,Total,179.318953407,0.000181730,0.000171208,0.000010522,15.263087680,2.175077640,0.471201156,12.349925707,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,59,Other animal food manufacturing,Total,"1,650.278538864",0.001014064,0.000927155,0.000086909,81.334046961,7.158908327,5.162969298,61.944022978,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,60,Flour milling,Total,225.677513218,0.000173758,0.000160353,0.000013406,17.169024090,1.207332365,0.513389291,14.154231773,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,65,Fats and oils refining and blending,Total,462.646791737,0.000203748,0.000192347,0.000011401,14.964741354,0.342822502,1.087638551,17.982278951,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,68,Sugar cane mills and refining,Total,6.759439702,0.000006505,0.000006505,0.000000000,0.292542210,0.000000000,0.025434668,0.540191411,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,69,Nonchocolate confectionery manufacturing,Total,98.554170580,0.000208587,0.000200445,0.000008142,8.928692202,1.083128870,0.193638159,1.319635158,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,70,Chocolate and confectionery manufacturing from cacao beans,Total,3.575391856,0.000007366,0.000007141,0.000000224,0.235465957,0.067460119,0.011080449,0.124062250,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,71,Confectionery manufacturing from purchased chocolate,Total,40.749879177,0.000105514,0.000104518,0.000000995,2.901767381,0.393057773,0.075090877,0.736563395,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,73,Frozen specialties manufacturing,Total,"1,392.259461872",0.003629286,0.003481594,0.000147692,203.690517212,15.168351686,2.057288013,60.066586528,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,74,Canned fruits and vegetables manufacturing,Total,6.164650761,0.000011051,0.000009837,0.000001214,0.528643369,0.065877367,0.011719441,0.273580526,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,75,Canned specialties,Total,324.929596224,0.000407622,0.000390015,0.000017607,26.050881961,2.154328195,0.440415213,11.527437840,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,78,"Dry, condensed, and evaporated dairy product manufacturing",Total,464.978225574,0.000391516,0.000361718,0.000029798,38.872244794,2.481083290,0.791116884,55.157161932,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,79,Fluid milk manufacturing,Total,12.455933931,0.000015904,0.000015904,0.000000000,1.389998688,0.000000000,0.026702694,0.556336676,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,81,Ice cream and frozen dessert manufacturing,Total,126.075844480,0.000290269,0.000284854,0.000005415,17.841273317,5.666938761,0.250341590,5.674302198,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,82,Frozen cakes and other pastries manufacturing,Total,35.925271979,0.000159865,0.000146647,0.000013219,5.356499968,0.320164186,1.982152423,2.538473980,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,83,Poultry processing,Total,"7,161.532737451",0.019539097,0.017651705,0.001887392,"1,250.197235124",100.302022124,13.600260373,328.364639576,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,84,"Animal, except poultry, slaughtering",Total,260.444527736,0.000365837,0.000343232,0.000022605,21.075416783,0.631930442,1.187491465,9.884602269,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,85,Meat processed from carcasses,Total,460.978147796,0.000849808,0.000779859,0.000069949,36.956638726,6.520973684,1.160502270,7.501313362,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,86,Rendering and meat byproduct processing,Total,129.697951524,0.000194544,0.000184364,0.000010181,13.123242575,0.610416938,0.230138556,0.740807523,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,87,Seafood product preparation and packaging,Total,860.644454892,0.001633135,0.001548090,0.000085045,70.564150567,2.945593085,2.016006845,30.939993405,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,88,"Bread and bakery product, except frozen, manufacturing",Total,"2,750.437112118",0.014839280,0.014051162,0.000788117,681.250472310,57.660258446,97.085464771,242.625156574,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,89,Cookie and cracker manufacturing,Total,12.553351385,0.000035226,0.000033738,0.000001488,2.153361476,0.251032073,0.043695989,0.761474314,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,90,"Dry pasta, mixes, and dough manufacturing",Total,40.879481512,0.000063380,0.000061134,0.000002245,4.693528435,0.541297171,0.151266945,4.670336227,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,92,Roasted nuts and peanut butter manufacturing,Total,681.437679913,0.000756766,0.000718064,0.000038701,69.765182289,0.589404350,1.523271087,99.560587040,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,93,Other snack food manufacturing,Total,728.974262097,0.001037252,0.000994603,0.000042649,83.299750452,5.037401825,2.232884213,80.183369647,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,94,Coffee and tea manufacturing,Total,221.925091152,0.000291290,0.000279939,0.000011351,28.384531557,1.623836123,0.441642875,19.193006216,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,96,"Mayonnaise, dressing, and sauce manufacturing",Total,36.666200959,0.000056181,0.000054115,0.000002066,4.430002610,0.034126728,0.069672314,2.485925592,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,97,Spice and extract manufacturing,Total,475.681590432,0.000789186,0.000758031,0.000031156,48.077013816,3.124558374,1.209500521,32.845375939,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,98,All other food manufacturing,Total,310.089308437,0.000624577,0.000584537,0.000040040,51.990669100,3.513191997,0.499884869,13.952206859,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,99,Bottled and canned soft drinks and water,Total,"16,482.997042833",0.022853459,0.021980624,0.000872835,"2,525.105256947",3.565542344,41.279166393,"1,740.253472532",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,100,Manufactured ice,Total,301.509308054,0.001628739,0.001564438,0.000064300,81.195560567,0.194991001,0.780767133,-22.282821881,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,101,Breweries,Total,523.717617974,0.001809096,0.001786017,0.000023080,66.758571840,0.003890141,13.530811001,38.848466930,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,102,Wineries,Total,9.118800986,0.000033082,0.000033082,0.000000000,0.290431915,0.000000000,0.107233309,0.216347773,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,103,Distilleries,Total,5.320128142,0.000008167,0.000008167,0.000000000,0.410685840,0.000000000,0.529368305,0.419013908,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,104,Tobacco manufacturing,Total,"7,792.182271607",0.002823026,0.002680297,0.000142729,178.593572637,0.812755457,674.541100087,"1,239.349993719",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,105,"Fiber, yarn, and thread mills",Total,0.282802488,0.000000987,0.000000000,0.000000987,0.000000000,0.000830088,0.002461778,0.000000000,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,106,Broadwoven fabric mills,Total,60.928340428,0.000196566,0.000181338,0.000015228,12.826834679,0.011026128,0.373083220,1.463671721,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,110,Textile and fabric finishing mills,Total,0.211266887,0.000000684,0.000000684,0.000000000,0.024231474,0.000000000,0.001205594,0.003833327,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,112,Carpet and rug mills,Total,18.264883664,0.000063800,0.000000000,0.000063800,0.000000000,-0.068098217,0.171740279,0.000000000,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,113,Curtain and linen mills,Total,14.302207819,0.000065816,0.000061430,0.000004387,2.851766008,-0.010221549,0.077496300,0.467584372,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,114,Textile bag and canvas mills,Total,12.625945607,0.000055421,0.000053902,0.000001518,3.188097247,-0.028850821,0.040320125,0.569830130,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,115,"Rope, cordage, twine, tire cord and tire fabric mills",Total,6.260523159,0.000022868,0.000022868,0.000000000,1.289415435,0.000000000,0.042899624,1.225218866,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,116,Other textile product mills,Total,32.817400412,0.000189285,0.000185717,0.000003569,8.533150347,-0.045118629,0.148510379,1.723099707,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,117,Apparel knitting mills,Total,46.672875541,0.000896327,0.000000000,0.000896327,0.000000000,-0.040321577,0.751390628,0.000000000,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,118,Cut and sew apparel contractors,Total,1.585490087,0.000016704,0.000014216,0.000002488,0.702259606,0.113075209,0.005633211,-0.037403806,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,119,Cut and sew apparel manufacturing (except contractors),Total,540.957477627,0.003898161,0.002230782,0.001667379,119.867075374,-2.327515557,4.285782706,39.207823614,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,120,Apparel accessories and other apparel manufacturing,Total,0.681320681,0.000004690,0.000004690,0.000000000,0.240640755,0.000000000,0.004177508,0.054670043,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,123,Other leather and allied product manufacturing,Total,3.371493434,0.000024192,0.000009105,0.000015087,0.305386406,0.013196447,0.027989119,0.010656566,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,124,Sawmills,Total,"69,847.099538603",0.131758945,0.123971899,0.007787046,"10,361.860053568",67.653541337,176.768629389,"7,965.918975587",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,125,Wood preservation,Total,"8,908.431363327",0.009380442,0.008849655,0.000530787,805.354630970,15.713054981,23.871080196,"1,779.998230443",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,126,Veneer and plywood manufacturing,Total,"62,933.845653114",0.145692340,0.136900760,0.008791580,"12,137.386146998",478.697474723,173.455982175,"12,383.586552822",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,127,Engineered wood member and truss manufacturing,Total,"8,787.313394971",0.020285399,0.019401947,0.000883452,"1,631.577103889",21.665051792,15.645492290,994.488275308,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,128,Reconstituted wood product manufacturing,Total,"52,913.091827878",0.053077619,0.050246088,0.002831531,"4,759.312947664",56.303934457,125.508866870,"11,859.352356360",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,129,Wood windows and door manufacturing,Total,"1,065.442422265",0.003355837,0.003166046,0.000189791,206.506479604,55.443642224,2.469046686,104.351470029,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,130,"Cut stock, resawing lumber, and planing",Total,"6,159.078919640",0.015081221,0.014461275,0.000619946,923.837731871,77.834557726,14.853270318,954.070956841,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,131,"Other millwork, including flooring",Total,"11,670.474789381",0.035693985,0.034616971,0.001077014,"2,027.627972290",61.611102535,30.178614758,"1,712.834895533",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,132,Wood container and pallet manufacturing,Total,"2,407.276721270",0.008998602,0.008790748,0.000207854,542.110452361,60.118786070,4.817441599,212.034146164,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,134,Prefabricated wood building manufacturing,Total,"8,595.319485956",0.022215689,0.021767422,0.000448267,"1,518.135623665",8.538990115,17.368755501,"1,337.789795409",AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,135,All other miscellaneous wood product manufacturing,Total,"2,240.175087869",0.007448987,0.007162754,0.000286233,504.838789410,22.073490063,4.987983785,287.970387707,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,136,Pulp mills,Total,1.392481187,0.000001779,0.000001779,0.000000000,0.201174418,0.000000000,0.007718329,0.189876920,AL-07
AL-07,AL-07 (Alabama Seventh Congressional District) (2023),All,IDP_Induction Melting Upgrade,137,Paper mills,Total,"16,259.821580761",0.015510938,0.015437642,0.000073296,"2,010.548237152",3.505686430,70.262057848,"4,242.099193867",AL-07
