program,project,state,district,industry_code,employment,output
idp,Induction Melting Upgrade,Alabama,07,148,0.1511,208931.4536
idp,Induction Melting Upgrade,Alabama,07,149,0.008,9732.4838
idp,Induction Melting Upgrade,Alabama,07,150,0.0058,6464.4715
idp,Induction Melting Upgrade,Alabama,07,152,0.0148,21595.147
idp,Induction Melting Upgrade,Alabama,07,154,0.0004,352.3485
idp,Induction Melting Upgrade,Alabama,07,155,0.001,1918.21
idp,Induction Melting Upgrade,Alabama,07,156,0.0008,1238.9875
idp,Induction Melting Upgrade,Alabama,07,159,0.0014,2218.7005
idp,Induction Melting Upgrade,Alabama,07,161,0.0008,615.1794
idp,Induction Melting Upgrade,Alabama,07,162,0.0003,511.2553
idp,Induction Melting Upgrade,Alabama,07,164,0.0002,153.5633
idp,Induction Melting Upgrade,Alabama,07,167,0.0093,8221.9266
idp,Induction Melting Upgrade,Alabama,07,175,0.0002,104.8942
idp,Induction Melting Upgrade,Alabama,07,177,0.0003,223.7486
idp,Induction Melting Upgrade,Alabama,07,178,0.0002,126.6749
idp,Induction Melting Upgrade,Alabama,07,179,0.0005,293.7064
idp,Induction Melting Upgrade,Alabama,07,180,0.0061,4401.6165
idp,Induction Melting Upgrade,Alabama,07,181,0.0204,7454.213
idp,Induction Melting Upgrade,Alabama,07,182,0.0149,7170.9906
idp,Induction Melting Upgrade,Alabama,07,183,0.0042,2028.0951
idp,Induction Melting Upgrade,Alabama,07,184,0.0006,313.8588
idp,Induction Melting Upgrade,Alabama,07,186,0.0909,39155.1684
idp,Induction Melting Upgrade,Alabama,07,187,0.0005,190.4969
idp,Induction Melting Upgrade,Alabama,07,188,0.0005,172.1336
idp,Induction Melting Upgrade,Alabama,07,190,0.1856,74512.5356
idp,Induction Melting Upgrade,Alabama,07,194,0.0056,2065.8637
idp,Induction Melting Upgrade,Alabama,07,196,1.9656,1089105.0302
idp,Induction Melting Upgrade,Alabama,07,197,0.024,11462.8266
idp,Induction Melting Upgrade,Alabama,07,199,0.6706,243242.399
idp,Induction Melting Upgrade,Alabama,07,200,0.0021,1492.3758
idp,Induction Melting Upgrade,Alabama,07,202,0.0015,632.2987
idp,Induction Melting Upgrade,Alabama,07,203,0.0064,1480.0872
idp,Induction Melting Upgrade,Alabama,07,206,0.0021,1214.5729
idp,Induction Melting Upgrade,Alabama,07,207,0.0158,33492.6597
idp,Induction Melting Upgrade,Alabama,07,208,0.004,3907.587
idp,Induction Melting Upgrade,Alabama,07,210,0.0005,415.6368
idp,Induction Melting Upgrade,Alabama,07,215,0.0001,177.3461
idp,Induction Melting Upgrade,Alabama,07,216,0.0017,3191.7516
idp,Induction Melting Upgrade,Alabama,07,219,0.0126,7255.0877
idp,Induction Melting Upgrade,Alabama,07,222,0.0034,1067.7965
idp,Induction Melting Upgrade,Alabama,07,223,0.0049,2339.7343
idp,Induction Melting Upgrade,Alabama,07,225,0.0004,250.1165
idp,Induction Melting Upgrade,Alabama,07,226,0.0008,278.1951
idp,Induction Melting Upgrade,Alabama,07,227,0.0018,852.4188
idp,Induction Melting Upgrade,Alabama,07,228,0.0279,13442.3587
idp,Induction Melting Upgrade,Alabama,07,229,0.0042,1237.7241
idp,Induction Melting Upgrade,Alabama,07,230,0.0384,12218.0125
idp,Induction Melting Upgrade,Alabama,07,231,0.0649,20870.9449
idp,Induction Melting Upgrade,Alabama,07,232,0.0452,12417.6274
idp,Induction Melting Upgrade,Alabama,07,233,0.0007,267.6261
idp,Induction Melting Upgrade,Alabama,07,237,0.0024,1019.6184
idp,Induction Melting Upgrade,Alabama,07,239,0.0671,14480.1732
idp,Induction Melting Upgrade,Alabama,07,240,0.0115,3677.3292
idp,Induction Melting Upgrade,Alabama,07,242,0.0345,14356.543
idp,Induction Melting Upgrade,Alabama,07,243,0.0076,1472.6356
idp,Induction Melting Upgrade,Alabama,07,244,0.0208,9919.3067
idp,Induction Melting Upgrade,Alabama,07,245,0.0062,4896.928
idp,Induction Melting Upgrade,Alabama,07,246,0.0201,7421.696
idp,Induction Melting Upgrade,Alabama,07,250,0.3585,125038.4146
idp,Induction Melting Upgrade,Alabama,07,251,0.0746,22961.6911
idp,Induction Melting Upgrade,Alabama,07,252,0.0003,233.3603
idp,Induction Melting Upgrade,Alabama,07,256,0.0003,123.133
idp,Induction Melting Upgrade,Alabama,07,264,0.0033,1504.652
idp,Induction Melting Upgrade,Alabama,07,267,0.0005,137.1788
idp,Induction Melting Upgrade,Alabama,07,271,0.0005,189.7944
idp,Induction Melting Upgrade,Alabama,07,274,0.0004,161.5179
idp,Induction Melting Upgrade,Alabama,07,278,0.0009,577.9025
idp,Induction Melting Upgrade,Alabama,07,311,0.0003,134.5747
idp,Induction Melting Upgrade,Alabama,07,324,0.0112,16243.7504
idp,Induction Melting Upgrade,Alabama,07,326,0.0003,107.3474
idp,Induction Melting Upgrade,Alabama,07,331,0.0134,7065.9353
idp,Induction Melting Upgrade,Alabama,07,333,0.0023,1064.6899
idp,Induction Melting Upgrade,Alabama,07,335,0.009,4624.9688
idp,Induction Melting Upgrade,Alabama,07,336,0.0038,2114.3033
idp,Induction Melting Upgrade,Alabama,07,348,0.0057,1133.3475
idp,Induction Melting Upgrade,Alabama,07,359,0.0004,124.6096
idp,Induction Melting Upgrade,Alabama,07,364,0.0009,244.0505
idp,Induction Melting Upgrade,Alabama,07,368,0.0193,3819.5743
idp,Induction Melting Upgrade,Alabama,07,369,0.0007,142.2504
idp,Induction Melting Upgrade,Alabama,07,373,0.0007,159.4129
idp,Induction Melting Upgrade,Alabama,07,375,0.065,29091.7335
idp,Induction Melting Upgrade,Alabama,07,376,0.3039,93058.1285
idp,Induction Melting Upgrade,Alabama,07,377,0.4131,344451.036
idp,Induction Melting Upgrade,Alabama,07,378,4.2112,1349257.6616
idp,Induction Melting Upgrade,Alabama,07,379,2.1162,872780.2545
idp,Induction Melting Upgrade,Alabama,07,380,0.0445,43278.8897
idp,Induction Melting Upgrade,Alabama,07,381,0.3549,103614.8294
idp,Induction Melting Upgrade,Alabama,07,382,0.2324,445663.4487
idp,Induction Melting Upgrade,Alabama,07,383,0.5281,224821.1718
idp,Induction Melting Upgrade,Alabama,07,384,0.6179,67034.5202
idp,Induction Melting Upgrade,Alabama,07,385,1.1185,225827.4518
idp,Induction Melting Upgrade,Alabama,07,386,0.3172,39328.5279
idp,Induction Melting Upgrade,Alabama,07,387,0.3459,23130.0597
idp,Induction Melting Upgrade,Alabama,07,388,1.2378,169628.998
idp,Induction Melting Upgrade,Alabama,07,389,1.38,128715.5677
idp,Induction Melting Upgrade,Alabama,07,390,0.8927,101746.5478
idp,Induction Melting Upgrade,Alabama,07,391,0.618,78392.5337
idp,Induction Melting Upgrade,Alabama,07,392,0.6925,77943.2162
idp,Induction Melting Upgrade,Alabama,07,393,0.4027,23892.6988
idp,Induction Melting Upgrade,Alabama,07,394,2.0267,174168.594
idp,Induction Melting Upgrade,Alabama,07,395,0.8964,49860.3396
idp,Induction Melting Upgrade,Alabama,07,396,0.0789,35537.7998
idp,Induction Melting Upgrade,Alabama,07,397,0.0743,53642.6855
idp,Induction Melting Upgrade,Alabama,07,398,0.0399,28624.712
idp,Induction Melting Upgrade,Alabama,07,399,5.1513,1069602.1391
idp,Induction Melting Upgrade,Alabama,07,400,0.3523,18481.191
idp,Induction Melting Upgrade,Alabama,07,401,0.0512,34902.7882
idp,Induction Melting Upgrade,Alabama,07,402,0.6996,61684.4086
idp,Induction Melting Upgrade,Alabama,07,403,1.8778,82062.3973
idp,Induction Melting Upgrade,Alabama,07,404,1.5416,141528.8504
idp,Induction Melting Upgrade,Alabama,07,405,0.0723,16785.7841
idp,Induction Melting Upgrade,Alabama,07,406,0.0321,8824.0454
idp,Induction Melting Upgrade,Alabama,07,407,0.0045,2472.6947
idp,Induction Melting Upgrade,Alabama,07,408,0.0027,644.2864
idp,Induction Melting Upgrade,Alabama,07,410,0.2646,96237.4945
idp,Induction Melting Upgrade,Alabama,07,411,0.0618,14508.3691
idp,Induction Melting Upgrade,Alabama,07,412,0.001,991.9105
idp,Induction Melting Upgrade,Alabama,07,413,0.1886,56774.4123
idp,Induction Melting Upgrade,Alabama,07,414,0.0049,4359.8458
idp,Induction Melting Upgrade,Alabama,07,415,0.2769,122104.4122
idp,Induction Melting Upgrade,Alabama,07,416,0.0757,150012.88
idp,Induction Melting Upgrade,Alabama,07,417,0.0782,30795.4169
idp,Induction Melting Upgrade,Alabama,07,418,0.3777,103562.2347
idp,Induction Melting Upgrade,Alabama,07,419,0.0326,2091.3122
idp,Induction Melting Upgrade,Alabama,07,420,0.1133,101848.5556
idp,Induction Melting Upgrade,Alabama,07,421,0.3535,112090.4601
idp,Induction Melting Upgrade,Alabama,07,422,0.7393,76005.8007
idp,Induction Melting Upgrade,Alabama,07,423,1.7253,739966.05
idp,Induction Melting Upgrade,Alabama,07,424,0.5101,101717.7855
idp,Induction Melting Upgrade,Alabama,07,425,0.0393,11746.7112
idp,Induction Melting Upgrade,Alabama,07,426,0.4709,239975.302
idp,Induction Melting Upgrade,Alabama,07,427,0.358,117386.2845
idp,Induction Melting Upgrade,Alabama,07,428,0.4923,75061.8699
idp,Induction Melting Upgrade,Alabama,07,429,6.4707,1251062.6098
idp,Induction Melting Upgrade,Alabama,07,432,0.4473,164229.6405
idp,Induction Melting Upgrade,Alabama,07,433,0.205,32743.7011
idp,Induction Melting Upgrade,Alabama,07,434,0.0015,315.2498
idp,Induction Melting Upgrade,Alabama,07,435,1.61,850861.1006
idp,Induction Melting Upgrade,Alabama,07,436,0.0073,51839.1026
idp,Induction Melting Upgrade,Alabama,07,437,2.2209,626691.0322
idp,Induction Melting Upgrade,Alabama,07,438,4.5964,685624.5927
idp,Induction Melting Upgrade,Alabama,07,439,1.2106,232443.6631
idp,Induction Melting Upgrade,Alabama,07,440,0.0814,18113.1204
idp,Induction Melting Upgrade,Alabama,07,441,0.1201,14531.2578
idp,Induction Melting Upgrade,Alabama,07,442,0.3222,59866.8923
idp,Induction Melting Upgrade,Alabama,07,443,0.052,9513.8998
idp,Induction Melting Upgrade,Alabama,07,444,0.9534,129683.4538
idp,Induction Melting Upgrade,Alabama,07,445,0.1131,18358.806
idp,Induction Melting Upgrade,Alabama,07,446,0.1715,43002.3976
idp,Induction Melting Upgrade,Alabama,07,447,0.3744,77891.4421
idp,Induction Melting Upgrade,Alabama,07,448,0.0139,3303.4603
idp,Induction Melting Upgrade,Alabama,07,449,0.1247,14581.0885
idp,Induction Melting Upgrade,Alabama,07,450,0.072,18173.3406
idp,Induction Melting Upgrade,Alabama,07,451,2.5183,588612.4985
idp,Induction Melting Upgrade,Alabama,07,452,0.5049,34442.0233
idp,Induction Melting Upgrade,Alabama,07,453,0.112,16324.2415
idp,Induction Melting Upgrade,Alabama,07,454,17.929,1684205.541
idp,Induction Melting Upgrade,Alabama,07,455,0.5404,37975.9763
idp,Induction Melting Upgrade,Alabama,07,456,0.0486,11206.2983
idp,Induction Melting Upgrade,Alabama,07,457,1.2586,64790.8933
idp,Induction Melting Upgrade,Alabama,07,458,1.1355,100718.663
idp,Induction Melting Upgrade,Alabama,07,459,1.411,157851.3825
idp,Induction Melting Upgrade,Alabama,07,460,0.3586,52136.8041
idp,Induction Melting Upgrade,Alabama,07,461,0.482,151954.6189
idp,Induction Melting Upgrade,Alabama,07,463,0.7466,47777.6847
idp,Induction Melting Upgrade,Alabama,07,464,0.3516,27433.6938
idp,Induction Melting Upgrade,Alabama,07,466,0.4394,67324.1012
idp,Induction Melting Upgrade,Alabama,07,469,0.1251,22320.0482
idp,Induction Melting Upgrade,Alabama,07,471,0.2124,24950.417
idp,Induction Melting Upgrade,Alabama,07,478,0.1647,16294.1642
idp,Induction Melting Upgrade,Alabama,07,479,0.0865,5423.3116
idp,Induction Melting Upgrade,Alabama,07,480,0.0123,651.0505
idp,Induction Melting Upgrade,Alabama,07,481,0.0374,6482.1897
idp,Induction Melting Upgrade,Alabama,07,482,0.1642,21360.3096
idp,Induction Melting Upgrade,Alabama,07,483,0.0383,5296.5197
idp,Induction Melting Upgrade,Alabama,07,484,0.0214,1783.214
idp,Induction Melting Upgrade,Alabama,07,485,0.122,18836.4404
idp,Induction Melting Upgrade,Alabama,07,486,0.2098,15163.5784
idp,Induction Melting Upgrade,Alabama,07,487,0.2068,9700.7902
idp,Induction Melting Upgrade,Alabama,07,488,0.0158,874.9599
idp,Induction Melting Upgrade,Alabama,07,489,0.0057,705.5061
idp,Induction Melting Upgrade,Alabama,07,490,0.039,4966.3931
idp,Induction Melting Upgrade,Alabama,07,491,2.5851,245522.2833
idp,Induction Melting Upgrade,Alabama,07,492,2.8651,309534.8043
idp,Induction Melting Upgrade,Alabama,07,493,1.9204,149100.6513
idp,Induction Melting Upgrade,Alabama,07,494,1.1358,156581.5747
idp,Induction Melting Upgrade,Alabama,07,495,0.1802,18733.4958
idp,Induction Melting Upgrade,Alabama,07,496,1.0757,157006.8425
idp,Induction Melting Upgrade,Alabama,07,497,380.7869,45487630.1505
idp,Induction Melting Upgrade,Alabama,07,498,0.3365,76024.8762
idp,Induction Melting Upgrade,Alabama,07,501,0.849,26604.0142
idp,Induction Melting Upgrade,Alabama,07,502,0.5971,45764.1958
idp,Induction Melting Upgrade,Alabama,07,504,0.099,26376.2151
idp,Induction Melting Upgrade,Alabama,07,505,0.0682,26871.9241
idp,Induction Melting Upgrade,Alabama,07,506,0.0937,17100.6908
idp,Induction Melting Upgrade,Alabama,07,508,0.4071,46333.8502
idp,Induction Melting Upgrade,Alabama,07,510,0.0213,2050.4726
idp,Induction Melting Upgrade,Alabama,07,513,0.0628,15649.5032
idp,Induction Melting Upgrade,Alabama,07,514,0.1541,7648.4372
idp,Induction Melting Upgrade,Alabama,07,515,0.0071,4855.8107
idp,Induction Melting Upgrade,Alabama,07,516,0.4315,209907.725
idp,Induction Melting Upgrade,Alabama,07,430,0.5229,127894.6586
idp,Induction Melting Upgrade,Alabama,07,431,0.0,1127528.0706
idp,Induction Melting Upgrade,Alabama,07,462,0.5763,23742.644
idp,Induction Melting Upgrade,Alabama,07,465,1.5011,266331.977
idp,Induction Melting Upgrade,Alabama,07,467,0.4274,55616.2073
idp,Induction Melting Upgrade,Alabama,07,468,0.485,103246.1432
idp,Induction Melting Upgrade,Alabama,07,470,0.3978,40835.7934
idp,Induction Melting Upgrade,Alabama,07,472,1.0238,253101.9675
idp,Induction Melting Upgrade,Alabama,07,473,1.1149,105083.5055
idp,Induction Melting Upgrade,Alabama,07,474,0.2618,20453.4682
idp,Induction Melting Upgrade,Alabama,07,475,1.2858,58329.9587
idp,Induction Melting Upgrade,Alabama,07,476,0.4739,32355.5537
idp,Induction Melting Upgrade,Alabama,07,477,0.2041,19001.7951
idp,Induction Melting Upgrade,Alabama,07,499,0.8396,29721.916
idp,Induction Melting Upgrade,Alabama,07,500,0.2593,10159.5243
idp,Induction Melting Upgrade,Alabama,07,503,0.4484,33163.2564
idp,Induction Melting Upgrade,Alabama,07,507,0.6693,11088.0407
idp,Induction Melting Upgrade,Alabama,07,46,257.0586,60000000.0
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,2,0.0011,493.0382
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,3,0.0031,449.9593
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,4,0.0026,224.718
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,5,0.0032,374.6017
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,6,0.0015,349.0461
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,10,0.0071,405.0499
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,11,0.0002,148.8758
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,14,0.0012,505.9181
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,19,0.0036,122.4981
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,20,0.0036,1546.2498
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,22,0.0127,10299.0318
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,35,0.02,32642.3135
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,42,0.0574,80991.1401
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,43,0.0092,5886.3133
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,44,0.0088,2054.0161
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,55,0.1111,22932.1035
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,56,0.0411,5886.3482
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,59,0.0001,113.0721
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,75,0.0001,119.1005
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,79,0.0012,975.4287
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,83,0.0013,467.843
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,84,0.0003,188.8297
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,88,0.0012,206.7072
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,93,0.0004,260.8299
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,99,0.0017,1081.0049
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,102,0.0006,195.6516
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,135,0.0004,108.3267
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,139,0.0004,232.7677
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,144,0.0099,1888.692
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,152,0.0182,24857.4369
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,156,0.0004,536.5404
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,159,0.0001,137.4824
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,167,0.0005,418.8125
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,185,0.0003,104.4511
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,186,0.0004,186.938
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,202,0.0034,1161.3348
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,207,0.0001,149.9249
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,215,0.0001,146.5037
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,218,0.0001,105.4011
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,239,0.0061,1171.9302
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,240,0.0004,136.638
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,242,0.0007,242.4487
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,244,0.0096,4110.0246
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,264,0.0007,288.7003
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,274,0.0008,393.4335
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,296,0.0099,9790.3062
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,302,0.0004,119.8944
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,306,0.0012,650.6336
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,318,0.0069,4351.3733
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,324,0.0011,1716.6748
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,344,0.0003,102.7852
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,368,0.0028,454.4787
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,375,0.0146,5192.761
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,376,0.0843,21595.5356
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,377,0.2238,143798.0181
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,378,0.4944,128268.661
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,379,0.109,32917.9953
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,380,0.0204,15737.0955
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,381,0.0296,7176.5836
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,382,0.0028,4779.9044
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,383,0.0559,19920.6771
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,384,0.1059,5722.4845
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,385,5.6524,1125728.9708
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,386,0.0974,17142.8619
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,387,0.0823,5006.8229
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,388,0.3613,47209.1366
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,389,0.4892,52610.846
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,390,0.2019,22822.107
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,391,0.1003,13228.8802
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,392,0.1483,19197.5798
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,393,0.1292,9719.1195
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,394,0.4214,40298.0251
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,395,0.2974,21917.9575
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,396,0.0202,10184.4008
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,397,0.0075,7075.6573
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,398,0.0003,131.5375
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,399,0.2087,42952.5824
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,400,0.1229,7227.4025
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,401,0.0015,1007.6551
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,402,0.0405,5212.428
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,403,0.4648,13237.1017
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,404,0.6057,44912.2795
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,405,0.0132,1976.8456
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,406,0.0059,1411.7578
idp,Vikrell Electric Boiler & Microgrid System,Arizona,06,407,0.0027,1305.7947
