DestinationRegion,ProjectName,IndustryCode,IndustryDescription,Output,Employment,Sum of  WageAndSalaryEmployment,Sum of  ProprietorEmployment,Sum of  EmployeeCompensation,Sum of  ProprietorIncome,Sum of  TaxesOnProductionAndImports,Sum of  OtherPropertyIncome
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,15,"Forestry, forest products, and timber tract production","3,391.63",0.02,0.01,0.01,"1,128.66",590.56,162.82,"1,313.65"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,16,Commercial logging,"156,715.23",0.78,0.5,0.29,"55,859.37","24,482.34","3,226.83","69,872.28"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,17,Commercial fishing,"12,996.74",0.33,0.04,0.3,"3,205.82","4,517.99","4,143.60","1,053.80"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,18,Commercial hunting and trapping,"24,292.89",0.02,0.01,0.01,411.55,"1,920.72",634.68,"21,083.35"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,19,Support activities for agriculture and forestry,"207,168.18",3.57,3.33,0.24,"180,505.43","9,693.08","9,153.06",-17.74
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,20,Oil and gas extraction,"1,533,472.70",2.21,0.41,1.8,"116,404.01","38,373.73","156,334.67","277,859.64"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,21,Coal mining,674.05,0,0,0,39.21,17.09,40.84,357.28
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,23,Iron ore mining,"7,492.93",0.01,0.01,0.01,"1,029.53","1,511.62",216.79,709.63
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,24,Gold ore and silver ore mining,"21,337.52",0.03,0.02,0.01,"2,084.00","4,356.69",667.04,"3,078.58"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,25,Other metal ore mining,"5,929.02",0.01,0,0,592.92,74.82,336.54,"3,453.11"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,26,Stone mining and quarrying,"956,568.80",1.72,1.24,0.48,"132,974.20","18,471.08","43,781.06","462,360.51"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,27,Sand and gravel mining,"966,324.89",2.48,1.77,0.71,"239,379.05","37,695.41","47,085.40","294,312.00"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,28,"Other clay, ceramic, refractory minerals mining","23,763.23",0.07,0.05,0.02,"5,179.73","1,229.86",782.51,"1,695.71"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,29,Other nonmetallic mineral mining and quarrying,"48,569.77",0.12,0.08,0.04,"11,015.25","1,880.33","2,624.45","16,368.52"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,30,Drilling oil and gas wells,11.59,0,0,0,7.98,0.02,0.5,-1.01
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,31,Support activities for oil and gas operations,"1,635.54",0.01,0,0,514.82,11.81,98.79,605.65
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,32,Metal mining services,"1,946.20",0.01,0.01,0,708.69,11.18,79.81,325.52
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,33,Other nonmetallic minerals services,64.1,0,0,0,21.78,0.51,3.03,4.09
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,34,Electric power generation - Hydroelectric,"66,167.63",0.07,0.06,0.01,"15,028.54","4,106.54","8,490.95","15,095.92"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,35,Electric power generation - Fossil  fuel,"726,641.50",0.3,0.28,0.03,"68,257.97","12,571.63","72,999.18","312,396.04"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,36,Electric power generation - Nuclear,"161,143.56",0.11,0.1,0.01,"27,331.31","7,466.11","14,614.98","62,198.55"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,37,Electric power generation - Solar,"88,319.03",0.11,0.1,0.01,"20,508.17","2,572.43","9,659.32","24,075.13"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,38,Electric power generation - Wind,"122,022.78",0.03,0.03,0,"6,459.25","1,447.35","16,722.37","65,448.50"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,39,Electric power generation - Geothermal,"16,977.62",0.02,0.02,0,"3,484.85",758.66,"2,105.62","4,131.47"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,40,Electric power generation - Biomass,"30,113.36",0.02,0.02,0,"3,473.12",851.6,"3,500.64","8,301.54"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,41,Electric power generation - All other,"6,685.60",0.04,0.03,0,"8,297.24","1,364.90",601.21,"-5,437.57"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,42,Electric power transmission and distribution,"1,371,894.90",0.67,0.62,0.06,"148,219.44","29,570.52","80,004.94","517,315.36"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,43,Natural gas distribution,"1,834,700.22",1.78,1.63,0.16,"389,372.12","74,422.87","287,773.42","649,912.21"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,44,"Water, sewage and other systems","237,714.16",0.76,0.72,0.04,"103,922.81","21,459.14","21,973.49","13,119.38"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,55,Maintenance and repair construction of nonresidential structures,"2,562,681.72",10.59,7.84,2.75,"719,684.17","183,711.39","30,085.28","502,279.65"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,56,Maintenance and repair construction of residential structures,"1,697,704.71",9.84,7.29,2.55,"624,529.76","150,450.55","63,884.34","244,805.02"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,57,"Maintenance and repair construction of highways, streets, bridges, and tunnels","3,983.17",0.02,0.01,0,"1,115.82",284.9,47.19,821.01
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,58,Dog and cat food manufacturing,"141,166.33",0.14,0.13,0.01,"13,075.38",407.48,"2,071.70","10,194.69"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,59,Other animal food manufacturing,"334,251.52",0.2,0.18,0.02,"18,703.51",480.77,"5,795.15","13,726.12"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,60,Flour milling,"103,794.89",0.08,0.07,0.01,"7,609.09",202.24,"1,340.16","6,044.65"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,61,Rice milling,"42,251.12",0.05,0.05,0,"4,282.31",138.21,441.42,"2,830.73"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,62,Malt manufacturing,"1,753.66",0,0,0,100.8,1.97,29.16,94.69
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,63,Wet corn milling,"6,920.49",0,0,0,565.31,34.79,102.78,554.37
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,64,Soybean and other oilseed processing,"111,666.99",0.02,0.02,0,"1,390.32",35.7,"3,983.55","3,047.57"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,65,Fats and oils refining and blending,"109,197.98",0.05,0.04,0,"4,841.01",149.8,"1,401.54","5,605.43"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,66,Breakfast cereal manufacturing,"21,968.73",0.02,0.02,0,"1,932.49",51.48,298.23,"1,606.36"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,67,Beet sugar manufacturing,"16,756.61",0.02,0.02,0,"2,077.79",33.08,370.34,"1,740.23"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,68,Sugar cane mills and refining,"56,896.69",0.04,0.04,0,"5,553.70",150.31,972.86,"9,881.88"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,69,Nonchocolate confectionery manufacturing,"75,495.44",0.14,0.13,0.01,"12,801.56",533.97,752.84,"1,823.17"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,70,Chocolate and confectionery manufacturing from cacao beans,"51,894.88",0.09,0.08,0.01,"9,320.56",759.36,742.8,"4,732.07"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,71,Confectionery manufacturing from purchased chocolate,"69,225.32",0.15,0.15,0.01,"11,721.07",463.81,623.39,"2,866.90"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,72,"Frozen fruits, juices and vegetables manufacturing","263,125.98",0.42,0.39,0.03,"35,502.07","1,059.20","2,763.52","26,383.46"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,73,Frozen specialties manufacturing,"322,739.66",0.78,0.72,0.06,"63,045.67","1,876.68","2,495.55","17,914.93"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,74,Canned fruits and vegetables manufacturing,"266,476.05",0.44,0.41,0.03,"35,555.23","1,569.70","2,631.57","17,730.61"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,75,Canned specialties,"29,745.26",0.04,0.03,0,"3,274.64",113.98,217.28,"1,396.28"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,76,Dehydrated food products manufacturing,"50,203.37",0.09,0.08,0.01,"7,000.68",220.26,382.62,918.29
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,77,Cheese manufacturing,"332,830.97",0.31,0.29,0.03,"26,729.23",682.12,"4,085.57","16,000.75"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,78,"Dry, condensed, and evaporated dairy product manufacturing","96,636.20",0.08,0.07,0.01,"8,380.29",264.02,923.59,"11,458.27"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,79,Fluid milk manufacturing,"543,440.25",0.66,0.61,0.05,"69,507.69","2,876.54","5,990.35","26,807.35"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,80,Creamery butter manufacturing,"71,237.78",0.04,0.04,0,"4,171.67",97.17,938.95,"3,443.11"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,81,Ice cream and frozen dessert manufacturing,"112,686.61",0.26,0.25,0.01,"18,470.95",785.92,"1,272.41","5,660.74"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,82,Frozen cakes and other pastries manufacturing,"48,724.98",0.19,0.17,0.01,"11,968.95",694.79,"1,991.60","3,890.73"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,83,Poultry processing,"434,633.90",1.23,1.17,0.06,"66,097.50","2,426.03","4,859.51","16,728.64"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,84,"Animal, except poultry, slaughtering","286,169.94",0.39,0.35,0.04,"30,167.02",753.3,"3,885.68","8,968.46"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,85,Meat processed from carcasses,"463,466.28",0.81,0.74,0.06,"58,332.40","1,768.93","5,123.33","9,288.69"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,86,Rendering and meat byproduct processing,"24,049.49",0.03,0.03,0,"3,449.47",91.54,222.28,193.9
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,87,Seafood product preparation and packaging,"51,923.85",0.09,0.08,0.01,"6,664.79",222.58,631.02,"2,815.92"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,88,"Bread and bakery product, except frozen, manufacturing","910,224.74",4.63,4.35,0.28,"242,579.15","14,669.76","38,716.49","92,788.21"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,89,Cookie and cracker manufacturing,"98,323.63",0.27,0.26,0.02,"17,477.40",857.55,"1,914.38","5,955.43"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,90,"Dry pasta, mixes, and dough manufacturing","149,506.26",0.23,0.21,0.02,"18,380.70",769.39,"3,056.21","17,624.17"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,91,Tortilla manufacturing,"113,621.29",0.38,0.36,0.02,"24,763.25",620.19,"1,511.07",232.22
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,92,Roasted nuts and peanut butter manufacturing,"271,870.34",0.3,0.28,0.02,"26,954.56","1,050.13","3,575.68","37,174.58"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,93,Other snack food manufacturing,"363,947.66",0.5,0.47,0.03,"46,055.93","1,106.79","6,844.54","42,285.65"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,94,Coffee and tea manufacturing,"143,397.41",0.2,0.19,0.01,"15,231.35",508.42,"1,688.73","9,924.25"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,95,Flavoring syrup and concentrate manufacturing,"74,779.93",0.04,0.04,0,"4,607.01",217.18,771.59,"15,084.61"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,96,"Mayonnaise, dressing, and sauce manufacturing","62,374.22",0.09,0.08,0.01,"8,731.90",281.37,640.63,"4,721.61"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,97,Spice and extract manufacturing,"130,885.86",0.19,0.18,0.02,"19,657.48",900.59,"1,683.51","12,940.83"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,98,All other food manufacturing,"497,990.22",1.03,0.96,0.06,"75,402.99","2,917.83","4,674.57","19,498.62"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,99,Bottled and canned soft drinks and water,"1,054,109.98",1.48,1.37,0.1,"144,328.94","11,647.25","15,154.24","95,848.24"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,100,Manufactured ice,"19,232.24",0.09,0.08,0.01,"7,520.49",468.09,241.94,"-2,101.27"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,101,Breweries,"535,349.12",1.42,1.36,0.06,"97,390.80","4,673.62","60,451.85","54,611.30"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,102,Wineries,"580,762.24",1.32,1.24,0.08,"122,678.11","6,658.29","23,945.48","88,058.82"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,103,Distilleries,"19,775.62",0.02,0.02,0,"1,738.38",122.19,"6,958.51","1,709.08"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,104,Tobacco manufacturing,"131,022.86",0.03,0.03,0,"3,644.76",129.59,"41,352.60","24,372.18"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,105,"Fiber, yarn, and thread mills","1,508.60",0,0,0,198.48,4.14,39.85,11.26
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,106,Broadwoven fabric mills,"3,812.87",0.01,0.01,0,947.93,41.53,72.96,69.02
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,107,Narrow fabric mills and schiffli machine embroidery,430.15,0,0,0,127.59,10.28,4.6,-54.88
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,108,Nonwoven fabric mills,758.06,0,0,0,89.65,3.28,20.59,19.05
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,109,Knit fabric mills,522.15,0,0,0,103.82,7.06,9.49,3.79
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,110,Textile and fabric finishing mills,"24,621.31",0.07,0.07,0.01,"4,584.62",85.14,410.15,462.78
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,111,Fabric coating mills,"2,779.31",0.01,0.01,0,644.33,17.36,44.96,82.07
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,112,Carpet and rug mills,"71,751.74",0.2,0.14,0.06,"11,603.90",476.41,"1,798.23","1,671.72"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,113,Curtain and linen mills,"8,378.89",0.03,0.03,0,"2,141.03",200.81,137.67,224
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,114,Textile bag and canvas mills,"22,367.41",0.09,0.08,0.01,"6,290.93",492,225,717.46
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,115,"Rope, cordage, twine, tire cord and tire fabric mills","1,121.75",0,0,0,295.86,36.74,21.78,179.38
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,116,Other textile product mills,"35,303.02",0.18,0.16,0.02,"11,105.35",859.96,478.76,"1,430.88"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,117,Apparel knitting mills,"5,833.23",0.03,0.02,0.01,"1,983.80",839.91,76.79,"1,315.43"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,118,Cut and sew apparel contractors,"28,579.60",0.28,0.22,0.06,"12,707.48","2,710.11",272.11,-307.42
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,119,Cut and sew apparel manufacturing (except contractors),"113,238.35",0.49,0.35,0.15,"32,381.43","8,581.08","1,590.79","22,441.22"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,120,Apparel accessories and other apparel manufacturing,"20,497.17",0.11,0.08,0.02,"6,406.23","2,111.61",263.02,"3,083.62"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,121,Leather and hide tanning and finishing,"1,417.91",0,0,0,215.18,35.55,41.9,409.02
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,122,Footwear manufacturing,"6,457.02",0.02,0.02,0.01,"2,956.12",341.92,70.3,43.42
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,123,Other leather and allied product manufacturing,"7,447.33",0.04,0.03,0,"2,390.85",370.88,119.11,176.77
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,124,Sawmills,"1,167,625.32",2.09,1.75,0.34,"172,444.62","8,311.16","8,552.18","165,971.39"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,125,Wood preservation,"450,825.16",0.48,0.41,0.06,"33,350.95","1,836.47","3,707.25","92,283.92"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,126,Veneer and plywood manufacturing,"153,051.66",0.34,0.28,0.06,"27,397.47","1,278.38","1,236.84","34,995.90"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,127,Engineered wood member and truss manufacturing,"979,747.18",2.24,1.97,0.26,"164,717.63","9,196.89","5,263.38","125,694.87"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,128,Reconstituted wood product manufacturing,"137,579.52",0.13,0.11,0.02,"11,175.76",599.88,955.07,"34,864.16"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,129,Wood windows and door manufacturing,"123,141.50",0.37,0.32,0.05,"27,048.87","1,470.72",829.66,"17,111.95"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,130,"Cut stock, resawing lumber, and planing","247,682.67",0.57,0.49,0.07,"37,858.54","1,460.73","1,707.58","48,947.93"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,131,"Other millwork, including flooring","140,114.30",0.37,0.33,0.04,"27,686.86","1,243.45",951.59,"29,281.03"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,132,Wood container and pallet manufacturing,"117,975.93",0.43,0.4,0.04,"26,635.56","1,145.87",707.87,"13,042.63"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,133,Manufactured home (mobile home) manufacturing,"2,775.96",0.01,0.01,0,592.66,24.7,15.96,144.27
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,134,Prefabricated wood building manufacturing,"176,925.92",0.42,0.37,0.04,"32,228.89","1,288.82",990.93,"35,555.60"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,135,All other miscellaneous wood product manufacturing,"68,252.61",0.21,0.19,0.02,"15,225.40",763.49,439.02,"10,872.99"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,136,Pulp mills,489.52,0,0,0,100.58,9.02,5.31,59.66
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,137,Paper mills,"25,707.94",0.03,0.03,0,"3,336.48",165.38,268.85,"4,423.78"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,138,Paperboard mills,"30,058.57",0.03,0.03,0,"3,613.93",242.56,370.87,"4,417.16"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,139,Paperboard container manufacturing,"1,464,520.19",2.33,2.31,0.02,"234,483.24","11,289.12","17,172.69","137,729.28"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,140,Paper bag and coated and treated paper manufacturing,"29,462.32",0.06,0.06,0,"5,094.24",215.78,312.88,"3,586.79"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,141,Stationery product manufacturing,"12,823.02",0.03,0.03,0,"2,513.99",114.36,137.3,584.01
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,142,Sanitary paper product manufacturing,"72,115.29",0.07,0.07,0,"8,237.87",618.94,825.31,"14,209.49"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,143,All other converted paper product manufacturing,"24,297.25",0.05,0.05,0,"4,262.32",168.37,259.96,"3,886.76"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,144,Printing,"584,384.65",2.99,2.28,0.71,"175,089.11","12,445.10","6,446.16","72,826.74"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,145,Support activities for printing,"14,386.57",0.11,0.08,0.03,"5,640.76",408.29,147.81,"1,541.89"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,146,Petroleum refineries,"18,904,944.33",1.73,1.67,0.07,"482,873.05","7,548.33","135,177.27","5,148,172.90"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,147,Asphalt paving mixture and block manufacturing,"86,839.55",0.08,0.08,0,"13,278.01",73.56,460.92,"6,169.16"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,148,Asphalt shingle and coating materials manufacturing,"514,090.91",0.3,0.3,0,"51,049.77",655.74,"4,688.67","190,638.30"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,149,Petroleum lubricating oil and grease manufacturing,"391,752.30",0.28,0.28,0,"41,782.88",192.57,"1,720.37","102,595.03"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,150,All other petroleum and coal products manufacturing,"27,012.14",0.02,0.02,0,"2,546.54",15.31,202.14,"11,013.97"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,151,Petrochemical manufacturing,"49,132.34",0.01,0.01,0,540.74,1.57,975.36,"18,980.25"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,152,Industrial gas manufacturing,"536,851.07",0.28,0.27,0.01,"43,563.86",66.98,"9,362.87","153,355.39"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,153,Synthetic dye and pigment manufacturing,"8,253.71",0.01,0.01,0,749.07,1.12,147.56,"1,435.66"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,154,Other basic inorganic chemical manufacturing,"101,293.28",0.08,0.08,0,"11,097.43",28.42,"1,488.86","38,920.81"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,155,Other basic organic chemical manufacturing,"128,046.83",0.05,0.05,0,"7,157.90",7.9,"1,837.09","32,276.82"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,156,Plastics material and resin manufacturing,"119,406.55",0.07,0.07,0,"7,796.98",16.86,"1,958.90","22,106.57"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,157,Synthetic rubber manufacturing,"1,653.98",0,0,0,181.79,0.39,30.02,363.04
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,158,Artificial and synthetic fibers and filaments manufacturing,419.17,0,0,0,57.97,0.13,5.48,120.53
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,159,Nitrogenous fertilizer manufacturing,"272,745.62",0.11,0.11,0,"12,108.85",15.17,"5,089.45","113,374.83"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,160,Phosphatic fertilizer manufacturing,"67,588.63",0.04,0.04,0,"4,280.52",3.55,"1,374.47","31,947.77"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,161,Fertilizer mixing,"86,322.27",0.11,0.1,0,"10,678.35",12.07,777.08,"12,030.09"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,162,Pesticide and other agricultural chemical manufacturing,"60,323.89",0.02,0.02,0,"3,620.57",5.56,810.8,"24,064.96"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,163,Medicinal and botanical manufacturing,"49,805.23",0.04,0.04,0,"9,233.74",13.85,438.73,"18,653.09"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,164,Pharmaceutical preparation manufacturing,"881,625.72",0.46,0.43,0.03,"95,477.60",186.86,"21,402.25","446,305.21"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,165,In-vitro diagnostic substance manufacturing,"49,523.49",0.07,0.06,0,"11,750.14",20.29,524.59,"15,222.63"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,166,Biological product (except diagnostic) manufacturing,"14,212.18",0.01,0.01,0,"1,651.03",2.34,196.57,"7,106.11"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,167,Paint and coating manufacturing,"524,392.59",0.47,0.45,0.01,"49,603.81",107.97,"7,363.91","165,995.40"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,168,Adhesive manufacturing,"399,823.56",0.41,0.39,0.02,"52,536.77",84.36,"4,677.34","128,809.40"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,169,Soap and other detergent manufacturing,"208,573.04",0.13,0.12,0.01,"15,814.11",48.19,"2,709.08","83,105.40"
California (2023),PacificCorp Western Interconnected Renewable Energy_California_47,170,Polish and other sanitation good manufacturing,"86,466.47",0.11,0.11,0,"11,892.79",25.61,"1,305.49","37,416.33"
